,Date,Price,Open,High,Low,Vol.,Change
0,Apr-28-2023,29177.5,29655.0,29705.0,28890.0,0.85K,-1.73%
1,Apr-27-2023,29690.0,28670.0,29920.0,28210.0,11.29K,6.42%
2,Apr-26-2023,27900.0,28320.0,30050.0,27250.0,14.87K,1.07%
3,Apr-25-2023,27605.0,27450.0,28070.0,27195.0,7.93K,0.75%
4,Apr-24-2023,27400.0,27425.0,28010.0,26980.0,7.46K,-1.31%
5,Apr-23-2023,27765.0,29422.5,29422.5,27575.0,-,1.67%
6,Apr-21-2023,27310.0,28240.0,28360.0,27195.0,6.27K,-2.79%
7,Apr-20-2023,28095.0,29195.0,29255.0,27985.0,7.61K,-4.00%
8,Apr-19-2023,29265.0,30435.0,30520.0,29010.0,7.62K,-3.50%
9,Apr-18-2023,30325.0,29555.0,30590.0,29145.0,5.58K,2.62%
10,Apr-17-2023,29550.0,30585.0,30585.0,29285.0,6.90K,-3.45%
11,Apr-16-2023,30605.0,31225.0,31225.0,30585.0,-,0.44%
12,Apr-14-2023,30470.0,30445.0,31200.0,30065.0,7.29K,-0.20%
13,Apr-13-2023,30530.0,30035.0,30900.0,29940.0,5.87K,2.02%
14,Apr-12-2023,29925.0,30365.0,30710.0,29800.0,5.86K,-1.32%
15,Apr-11-2023,30325.0,29445.0,30775.0,29435.0,8.51K,3.08%
16,Apr-10-2023,29420.0,28505.0,29670.0,28265.0,9.75K,2.71%
17,Apr-09-2023,28645.0,27575.0,28822.5,27575.0,-,2.14%
18,Apr-07-2023,28045.0,28302.5,28372.5,28020.0,-,-0.34%
19,Apr-06-2023,28140.0,28350.0,28350.0,27765.0,5.24K,-0.86%
20,Apr-05-2023,28385.0,28390.0,28985.0,27935.0,8.24K,0.04%
21,Apr-04-2023,28375.0,27930.0,28650.0,27855.0,7.00K,0.67%
22,Apr-03-2023,28185.0,28575.0,28885.0,24650.0,-,-1.36%
23,Apr-02-2023,28575.0,28405.0,28597.5,28395.0,-,0.35%
24,Mar-31-2023,28476.5,28090.0,28625.0,27620.0,0.87K,1.83%
25,Mar-30-2023,27965.0,28355.0,29220.0,27680.0,9.73K,-1.67%
26,Mar-29-2023,28440.0,27170.0,28685.0,27170.0,9.85K,3.59%
27,Mar-28-2023,27455.0,27175.0,27545.0,26650.0,9.90K,1.76%
28,Mar-27-2023,26980.0,27960.0,28240.0,26520.0,11.15K,-3.83%
29,Mar-26-2023,28055.0,27800.0,28235.0,27800.0,-,0.50%
30,Mar-24-2023,27915.0,28385.0,28570.0,27480.0,5.85K,-2.22%
31,Mar-23-2023,28550.0,27200.0,28935.0,27075.0,11.42K,6.53%
32,Mar-22-2023,26800.0,28210.0,29045.0,26700.0,10.98K,-5.33%
33,Mar-21-2023,28310.0,28150.0,28680.0,27555.0,6.29K,1.31%
34,Mar-20-2023,27945.0,28095.0,28715.0,27320.0,9.81K,-0.73%
35,Mar-19-2023,28150.0,26235.0,28490.0,26235.0,-,4.26%
36,Mar-17-2023,27000.0,25040.0,27155.0,25000.0,12.87K,7.61%
37,Mar-16-2023,25090.0,24610.0,25300.0,24250.0,6.50K,2.45%
38,Mar-15-2023,24490.0,24655.0,25440.0,24005.0,13.89K,-2.97%
39,Mar-14-2023,25240.0,24230.0,26615.0,24030.0,16.27K,3.42%
40,Mar-13-2023,24405.0,21250.0,24620.0,21110.0,28.14K,10.78%
41,Mar-12-2023,22030.0,19970.0,22182.5,19970.0,-,10.34%
42,Mar-10-2023,19965.0,20300.0,20330.0,19520.0,13.50K,-0.50%
43,Mar-09-2023,20065.0,21800.0,21850.0,19960.0,14.04K,-9.27%
44,Mar-08-2023,22115.0,22100.0,22300.0,21880.0,6.28K,0.20%
45,Mar-07-2023,22070.0,22455.0,22600.0,21940.0,6.74K,-1.43%
46,Mar-06-2023,22390.0,22455.0,22665.0,22300.0,4.80K,-0.29%
47,Mar-05-2023,22455.0,22247.5,22492.5,22232.5,-,0.60%
48,Mar-03-2023,22320.0,23560.0,23615.0,22020.0,12.04K,-5.38%
49,Mar-02-2023,23590.0,23645.0,23925.0,23300.0,4.72K,0.25%
50,Mar-01-2023,23530.0,23275.0,24165.0,23140.0,6.34K,0.51%
51,Feb-28-2023,23410.0,23585.0,23780.0,23150.0,4.90K,-0.85%
52,Feb-27-2023,23610.0,23662.5,24060.0,23245.0,-,-0.23%
53,Feb-26-2023,23665.0,23325.0,23770.0,23267.5,-,0.38%
54,Feb-24-2023,23576.1,23880.0,24100.0,23560.0,-,-1.44%
55,Feb-23-2023,23920.0,24100.0,24610.0,23620.0,11.77K,0.50%
56,Feb-22-2023,23800.0,24395.0,24495.0,23590.0,13.56K,-2.82%
57,Feb-21-2023,24490.0,24505.0,25335.0,23905.0,19.03K,-1.63%
58,Feb-20-2023,24895.0,24355.0,25170.0,23907.5,-,2.26%
59,Feb-19-2023,24345.0,24705.0,24750.0,24275.0,-,-2.11%
60,Feb-17-2023,24870.0,24080.0,25095.0,23430.0,12.41K,0.93%
61,Feb-16-2023,24640.0,24285.0,25345.0,24245.0,16.55K,1.61%
62,Feb-15-2023,24250.0,22270.0,24415.0,22100.0,10.95K,8.57%
63,Feb-14-2023,22335.0,21700.0,22375.0,21575.0,8.59K,2.88%
64,Feb-13-2023,21710.0,21820.0,21930.0,21380.0,7.44K,-0.49%
65,Feb-12-2023,21817.5,21802.5,21880.0,21707.5,-,0.20%
66,Feb-10-2023,21775.0,21825.0,21970.0,21505.0,6.15K,-1.07%
67,Feb-09-2023,22010.0,23015.0,23085.0,21720.0,10.27K,-3.82%
68,Feb-08-2023,22885.0,23300.0,23540.0,22695.0,5.59K,-1.78%
69,Feb-07-2023,23300.0,22960.0,23460.0,22725.0,5.73K,0.82%
70,Feb-06-2023,23110.0,23100.0,23275.0,22755.0,4.86K,0.25%
71,Feb-05-2023,23052.5,23730.0,23730.0,23032.5,-,-1.84%
72,Feb-03-2023,23485.0,23665.0,23890.0,23340.0,6.47K,-2.17%
73,Feb-02-2023,24005.0,23940.0,24450.0,23550.0,7.69K,1.05%
74,Feb-01-2023,23755.0,23335.0,23965.0,22905.0,5.61K,2.17%
75,Jan-31-2023,23250.0,22870.0,23410.0,22850.0,3.49K,1.23%
76,Jan-30-2023,22967.5,23937.5,23982.5,22715.0,-,-4.03%
77,Jan-29-2023,23932.5,23355.0,24080.0,23355.0,-,3.82%
78,Jan-27-2023,23052.7,22955.0,23090.0,22545.0,1.50K,-0.10%
79,Jan-26-2023,23075.0,23100.0,23285.0,22835.0,11.15K,0.59%
80,Jan-25-2023,22940.0,22770.0,23770.0,22345.0,10.97K,-0.54%
81,Jan-24-2023,23065.0,22990.0,23210.0,22775.0,7.98K,-0.11%
82,Jan-23-2023,23090.0,22605.0,23240.0,22585.0,10.73K,1.41%
83,Jan-22-2023,22770.0,22617.5,22837.5,22332.5,-,1.70%
84,Jan-20-2023,22390.0,21155.0,22525.0,20935.0,9.47K,5.61%
85,Jan-19-2023,21200.0,20905.0,21275.0,20730.0,5.32K,1.92%
86,Jan-18-2023,20800.0,21325.0,21795.0,20460.0,13.11K,-3.19%
87,Jan-17-2023,21485.0,20985.0,21725.0,20690.0,12.71K,1.07%
88,Jan-16-2023,21257.5,20967.5,21545.0,20690.0,-,1.36%
89,Jan-15-2023,20972.5,21017.5,21022.5,20920.0,-,7.28%
90,Jan-13-2023,19550.0,18945.0,19995.0,18785.0,7.03K,2.06%
91,Jan-12-2023,19155.0,17625.0,19200.0,17615.0,14.04K,8.74%
92,Jan-11-2023,17615.0,17490.0,17635.0,17330.0,4.67K,0.46%
93,Jan-10-2023,17535.0,17180.0,17555.0,17135.0,5.07K,1.80%
94,Jan-09-2023,17225.0,16980.0,17440.0,16955.0,7.47K,1.56%
95,Jan-08-2023,16960.0,16990.0,16990.0,16947.5,-,0.38%
96,Jan-06-2023,16895.0,16825.0,17085.0,16645.0,6.14K,0.33%
97,Jan-05-2023,16840.0,16810.0,16890.0,16715.0,3.41K,0.36%
98,Jan-04-2023,16780.0,16625.0,17015.0,16610.0,7.39K,0.99%
99,Jan-03-2023,16615.0,16675.0,16765.0,16525.0,4.09K,-0.23%
100,Jan-02-2023,16652.5,16492.5,16725.0,16492.5,-,0.94%
101,Dec-30-2022,16498.1,16615.0,16625.0,16285.0,0.50K,-0.52%
102,Dec-29-2022,16585.0,16510.0,16640.0,16435.0,6.60K,0.09%
103,Dec-28-2022,16570.0,16640.0,16760.0,16420.0,9.93K,-0.15%
104,Dec-27-2022,16595.0,16825.0,16950.0,16515.0,7.69K,-1.92%
105,Dec-26-2022,16920.0,16697.5,16922.5,16697.5,-,0.83%
106,Dec-23-2022,16780.0,16760.0,16910.0,16695.0,5.71K,0.27%
107,Dec-22-2022,16735.0,16725.0,16850.0,16460.0,5.53K,0.00%
108,Dec-21-2022,16735.0,16870.0,16885.0,16670.0,2.30K,-0.62%
109,Dec-20-2022,16840.0,16325.0,17095.0,16275.0,5.60K,2.09%
110,Dec-19-2022,16495.0,16690.0,16770.0,16395.0,4.39K,-1.05%
111,Dec-18-2022,16670.0,16625.0,16942.5,16395.0,-,-0.63%
112,Dec-16-2022,16775.0,17340.0,17525.0,16675.0,7.27K,-3.56%
113,Dec-15-2022,17395.0,17840.0,17875.0,17290.0,5.85K,-2.25%
114,Dec-14-2022,17795.0,17775.0,18420.0,17680.0,7.81K,0.28%
115,Dec-13-2022,17745.0,17170.0,18125.0,17050.0,9.18K,3.68%
116,Dec-12-2022,17115.0,17080.0,17220.0,16820.0,4.19K,0.54%
117,Dec-11-2022,17022.5,17005.0,17090.0,16995.0,-,-0.07%
118,Dec-09-2022,17035.0,17240.0,17355.0,17005.0,4.44K,-0.87%
119,Dec-08-2022,17185.0,16760.0,17320.0,16665.0,7.12K,2.75%
120,Dec-07-2022,16725.0,16935.0,17090.0,16580.0,3.97K,-1.30%
121,Dec-06-2022,16945.0,16865.0,17025.0,16800.0,3.72K,0.71%
122,Dec-05-2022,16825.0,17020.0,17435.0,16750.0,6.34K,-1.38%
123,Dec-04-2022,17060.0,16960.0,17150.0,16960.0,-,0.38%
124,Dec-02-2022,16995.0,16870.0,17055.0,16055.0,3.87K,1.04%
125,Dec-01-2022,16820.0,17190.0,17235.0,16760.0,6.04K,-1.52%
126,Nov-30-2022,17080.0,16235.0,17140.0,16160.0,8.02K,5.01%
127,Nov-29-2022,16265.0,15920.0,16410.0,15880.0,4.65K,1.72%
128,Nov-28-2022,15990.0,16335.0,16375.0,15630.0,6.80K,-3.16%
129,Nov-25-2022,16512.3,16470.0,16805.0,16340.0,1.63K,-0.59%
130,Nov-23-2022,16610.0,16115.0,16705.0,16080.0,9.97K,3.46%
131,Nov-22-2022,16055.0,15645.0,16295.0,15515.0,12.76K,2.33%
132,Nov-21-2022,15690.0,16155.0,16265.0,15355.0,12.99K,-5.08%
133,Nov-18-2022,16530.0,16545.0,16880.0,16365.0,6.05K,0.06%
134,Nov-17-2022,16520.0,16370.0,16610.0,16115.0,5.98K,1.44%
135,Nov-16-2022,16285.0,16715.0,16855.0,16015.0,7.01K,-2.43%
136,Nov-15-2022,16690.0,16085.0,16990.0,16085.0,7.41K,4.28%
137,Nov-14-2022,16005.0,15870.0,16740.0,15250.0,7.19K,-0.28%
138,Nov-11-2022,16050.0,17460.0,17480.0,15715.0,12.25K,-9.73%
139,Nov-10-2022,17780.0,15440.0,17935.0,15230.0,18.02K,13.86%
140,Nov-09-2022,15615.0,18480.0,18565.0,14925.0,29.10K,-13.63%
141,Nov-08-2022,18080.0,20500.0,20700.0,16835.0,44.90K,-13.26%
142,Nov-07-2022,20845.0,21200.0,21215.0,20635.0,6.25K,-0.60%
143,Nov-06-2022,20970.0,21025.0,21222.5,20737.5,-,-0.87%
144,Nov-04-2022,21155.0,20280.0,21400.0,20185.0,16.43K,4.29%
145,Nov-03-2022,20285.0,20165.0,20415.0,20030.0,7.00K,0.10%
146,Nov-02-2022,20265.0,20500.0,20870.0,20105.0,9.27K,-1.05%
147,Nov-01-2022,20480.0,20430.0,20725.0,20320.0,4.66K,0.49%
148,Oct-31-2022,20380.0,20715.0,20890.0,20220.0,7.21K,-1.40%
149,Oct-30-2022,20670.0,20727.5,20757.5,20550.0,-,0.94%
150,Oct-28-2022,20478.4,20385.0,20560.0,19965.0,0.78K,-0.71%
151,Oct-27-2022,20625.0,20735.0,20935.0,20245.0,10.28K,-0.75%
152,Oct-26-2022,20780.0,20215.0,21055.0,20015.0,16.62K,2.34%
153,Oct-25-2022,20305.0,19310.0,20445.0,19230.0,18.64K,4.99%
154,Oct-24-2022,19340.0,19470.0,19695.0,19130.0,11.74K,-1.28%
155,Oct-23-2022,19590.0,19025.0,19697.5,19025.0,-,2.06%
156,Oct-21-2022,19195.0,19050.0,19250.0,18615.0,10.60K,0.87%
157,Oct-20-2022,19030.0,19150.0,19340.0,18875.0,9.38K,-0.89%
158,Oct-19-2022,19200.0,19255.0,19340.0,19035.0,5.61K,0.10%
159,Oct-18-2022,19180.0,19525.0,19715.0,19045.0,8.66K,-1.72%
160,Oct-17-2022,19515.0,19070.0,19680.0,19070.0,7.54K,1.57%
161,Oct-16-2022,19212.5,19290.0,19355.0,19070.0,-,0.54%
162,Oct-14-2022,19110.0,19415.0,19975.0,19065.0,14.03K,-1.29%
163,Oct-13-2022,19360.0,19150.0,19575.0,17810.0,23.51K,1.39%
164,Oct-12-2022,19095.0,18935.0,19145.0,18900.0,5.18K,1.03%
165,Oct-11-2022,18900.0,19165.0,19225.0,18760.0,9.23K,-1.18%
166,Oct-10-2022,19125.0,19390.0,19465.0,19015.0,7.45K,-1.47%
167,Oct-07-2022,19410.0,19870.0,20080.0,19260.0,11.12K,-3.07%
168,Oct-06-2022,20025.0,20085.0,20515.0,19870.0,9.20K,-0.57%
169,Oct-05-2022,20140.0,20385.0,20440.0,19740.0,9.67K,-0.71%
170,Oct-04-2022,20285.0,19535.0,20535.0,19515.0,11.73K,3.89%
171,Oct-03-2022,19525.0,19190.0,19690.0,18785.0,12.20K,-0.88%
172,Sep-30-2022,19698.6,19510.0,19725.0,19185.0,0.42K,1.51%
173,Sep-29-2022,19405.0,19630.0,19700.0,18820.0,10.69K,-0.82%
174,Sep-28-2022,19565.0,18975.0,19685.0,18440.0,14.51K,2.73%
175,Sep-27-2022,19045.0,19060.0,20400.0,18775.0,18.57K,-0.70%
176,Sep-26-2022,19180.0,18700.0,19300.0,18545.0,11.53K,2.29%
177,Sep-25-2022,18750.0,18655.0,18860.0,18545.0,-,0.03%
178,Sep-23-2022,18745.0,19200.0,19495.0,18455.0,9.16K,-2.85%
179,Sep-22-2022,19295.0,18510.0,19475.0,18085.0,9.04K,1.66%
180,Sep-21-2022,18980.0,18880.0,19885.0,18670.0,15.36K,0.16%
181,Sep-20-2022,18950.0,19525.0,19640.0,18690.0,8.87K,-2.72%
182,Sep-19-2022,19480.0,19490.0,19620.0,18195.0,12.24K,0.67%
183,Sep-18-2022,19350.0,19750.0,19900.0,19280.0,-,-1.15%
184,Sep-16-2022,19575.0,19750.0,19865.0,19275.0,6.56K,-0.79%
185,Sep-15-2022,19730.0,20130.0,20345.0,19450.0,7.04K,-0.98%
186,Sep-14-2022,19925.0,20110.0,20500.0,19585.0,7.63K,-1.56%
187,Sep-13-2022,20240.0,22390.0,22875.0,20050.0,15.36K,-9.86%
188,Sep-12-2022,22455.0,21500.0,22530.0,21500.0,8.76K,2.60%
189,Sep-11-2022,21885.0,21107.5,21887.5,21107.5,-,2.53%
190,Sep-09-2022,21345.0,19010.0,21485.0,19010.0,16.20K,10.90%
191,Sep-08-2022,19247.5,19210.0,19385.0,18905.0,-,1.70%
192,Sep-07-2022,18925.0,18780.0,19365.0,18360.0,6.75K,1.56%
193,Sep-06-2022,18635.0,19745.0,20080.0,18480.0,15.29K,-5.20%
194,Sep-05-2022,19657.5,19862.5,19935.0,19490.0,-,-1.09%
195,Sep-04-2022,19875.0,20122.5,20122.5,19580.0,-,0.51%
196,Sep-02-2022,19775.0,19975.0,20390.0,19555.0,9.77K,0.41%
197,Sep-01-2022,19695.0,20130.0,20145.0,19310.0,7.10K,-1.84%
198,Aug-31-2022,20065.0,19745.0,20400.0,19585.0,7.26K,1.49%
199,Aug-30-2022,19770.0,19985.0,20630.0,19345.0,7.23K,-0.98%
200,Aug-29-2022,19965.0,19890.0,20315.0,19345.0,7.99K,3.05%
201,Aug-28-2022,19375.0,21080.0,21080.0,19345.0,-,-9.54%
202,Aug-26-2022,21417.9,21425.0,21865.0,21035.0,0.91K,-0.68%
203,Aug-25-2022,21565.0,21610.0,21810.0,21290.0,7.81K,-0.67%
204,Aug-24-2022,21710.0,21480.0,21900.0,21125.0,9.89K,1.02%
205,Aug-23-2022,21490.0,21055.0,21660.0,20790.0,8.57K,2.50%
206,Aug-22-2022,20965.0,21420.0,21595.0,20805.0,7.31K,-2.17%
207,Aug-21-2022,21430.0,21477.5,21585.0,21200.0,-,0.94%
208,Aug-19-2022,21230.0,23330.0,23370.0,21035.0,11.30K,-9.02%
209,Aug-18-2022,23335.0,23260.0,23590.0,23210.0,3.98K,0.45%
210,Aug-17-2022,23230.0,23960.0,24465.0,23145.0,8.57K,-2.99%
211,Aug-16-2022,23945.0,24060.0,24265.0,23640.0,5.10K,-0.23%
212,Aug-15-2022,24000.0,24360.0,25270.0,23890.0,7.44K,-1.30%
213,Aug-14-2022,24315.0,24390.0,24412.5,24232.5,-,0.31%
214,Aug-12-2022,24240.0,24225.0,24315.0,23600.0,4.94K,-0.02%
215,Aug-11-2022,24245.0,24000.0,24980.0,23840.0,9.24K,2.49%
216,Aug-10-2022,23655.0,23200.0,24240.0,22630.0,9.53K,2.58%
217,Aug-09-2022,23060.0,23880.0,23965.0,22850.0,8.22K,-3.86%
218,Aug-08-2022,23985.0,23310.0,24355.0,23085.0,7.58K,3.39%
219,Aug-07-2022,23197.5,23322.5,23350.0,23085.0,-,1.03%
220,Aug-05-2022,22960.0,22505.0,23555.0,22475.0,8.82K,2.25%
221,Aug-04-2022,22455.0,23370.0,23370.0,22405.0,7.91K,-4.61%
222,Aug-03-2022,23540.0,23175.0,23705.0,22730.0,6.02K,2.35%
223,Aug-02-2022,23000.0,23050.0,23510.0,22685.0,5.49K,-0.13%
224,Aug-01-2022,23030.0,23655.0,23685.0,22895.0,5.78K,-1.60%
225,Jul-31-2022,23405.0,23922.5,24065.0,23315.0,-,-2.81%
226,Jul-29-2022,24082.4,23950.0,24490.0,23460.0,0.69K,1.17%
227,Jul-28-2022,23805.0,22785.0,24230.0,22620.0,11.80K,4.50%
228,Jul-27-2022,22780.0,21015.0,23120.0,21000.0,13.02K,8.92%
229,Jul-26-2022,20915.0,22045.0,22045.0,20715.0,11.71K,-4.43%
230,Jul-25-2022,21885.0,22830.0,23035.0,21580.0,10.40K,-3.14%
231,Jul-24-2022,22595.0,22790.0,23035.0,22535.0,-,-0.09%
232,Jul-22-2022,22615.0,23210.0,23800.0,22540.0,6.64K,-2.65%
233,Jul-21-2022,23230.0,23595.0,23685.0,22365.0,7.35K,-1.96%
234,Jul-20-2022,23695.0,23650.0,24300.0,22930.0,10.14K,1.00%
235,Jul-19-2022,23460.0,21660.0,23725.0,21575.0,11.77K,8.51%
236,Jul-18-2022,21620.0,21080.0,22785.0,20750.0,10.03K,4.14%
237,Jul-17-2022,20760.0,21067.5,21072.5,20745.0,-,-2.03%
238,Jul-15-2022,21190.0,20440.0,21215.0,20360.0,6.27K,2.74%
239,Jul-14-2022,20625.0,19890.0,20885.0,19585.0,10.78K,5.15%
240,Jul-13-2022,19615.0,19290.0,20090.0,18830.0,12.02K,1.55%
241,Jul-12-2022,19315.0,20190.0,20190.0,19215.0,7.72K,-5.57%
242,Jul-11-2022,20455.0,21045.0,21045.0,20215.0,7.66K,-1.82%
243,Jul-10-2022,20835.0,20760.0,20837.5,20635.0,-,-4.27%
244,Jul-08-2022,21765.0,21670.0,22550.0,21160.0,-,-0.41%
245,Jul-07-2022,21855.0,20360.0,21890.0,20245.0,8.76K,7.79%
246,Jul-06-2022,20275.0,20310.0,20450.0,19730.0,5.81K,-0.56%
247,Jul-05-2022,20390.0,19270.0,20740.0,18985.0,15.04K,0.97%
248,Jul-04-2022,20195.0,19245.0,20312.5,18985.0,-,4.94%
249,Jul-03-2022,19245.0,19995.0,19995.0,19152.5,-,-0.36%
250,Jul-01-2022,19315.0,18700.0,20790.0,18630.0,10.65K,2.96%
251,Jun-30-2022,18760.0,20240.0,20295.0,18525.0,10.28K,-7.06%
252,Jun-29-2022,20185.0,20290.0,20405.0,19775.0,6.70K,0.05%
253,Jun-28-2022,20175.0,20765.0,21195.0,20125.0,5.87K,-4.87%
254,Jun-27-2022,21206.9,21030.0,21522.5,20437.5,-,0.84%
255,Jun-26-2022,21030.0,21300.0,21367.5,20915.0,-,-0.83%
256,Jun-24-2022,21206.9,20740.0,21535.0,20740.0,1.45K,1.47%
257,Jun-23-2022,20900.0,19945.0,21090.0,19875.0,10.08K,3.95%
258,Jun-22-2022,20105.0,20920.0,20920.0,19760.0,13.38K,-3.62%
259,Jun-21-2022,20860.0,20390.0,21715.0,19600.0,18.03K,2.72%
260,Jun-20-2022,20307.5,20560.0,21015.0,19592.5,-,-1.23%
261,Jun-19-2022,20560.0,20600.0,20722.5,20387.5,-,0.44%
262,Jun-17-2022,20470.0,20645.0,21315.0,20145.0,8.72K,-1.54%
263,Jun-16-2022,20790.0,22165.0,22945.0,20435.0,9.77K,-3.86%
264,Jun-15-2022,21625.0,21460.0,22385.0,20025.0,19.87K,-2.26%
265,Jun-14-2022,22125.0,23010.0,23290.0,20775.0,16.48K,-4.26%
266,Jun-13-2022,23110.0,27355.0,27365.0,22490.0,18.65K,-12.80%
267,Jun-12-2022,26502.5,27235.0,27367.5,26487.5,-,-8.36%
268,Jun-10-2022,28920.0,30085.0,31025.0,28740.0,8.03K,-3.42%
